plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
22,3807,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
22,3808,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
22,3809,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
22,3810,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
22,3811,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
22,3812,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
22,3813,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
22,3814,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
22,3815,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
22,3816,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
22,3817,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
22,3818,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
22,3819,connected,,,compute-007,fe-p0,server,fe-leaf-01,E1/3/3,leaf
22,3820,connected,,,compute-007,fe-p1,server,fe-leaf-02,E1/3/3,leaf
22,3821,connected,,,compute-008,fe-p0,server,fe-leaf-01,E1/3/4,leaf
22,3822,connected,,,compute-008,fe-p1,server,fe-leaf-02,E1/3/4,leaf
22,3823,connected,,,compute-009,fe-p0,server,fe-leaf-01,E1/5/1,leaf
22,3824,connected,,,compute-009,fe-p1,server,fe-leaf-02,E1/5/1,leaf
22,3825,connected,,,compute-010,fe-p0,server,fe-leaf-01,E1/5/2,leaf
22,3826,connected,,,compute-010,fe-p1,server,fe-leaf-02,E1/5/2,leaf
22,3827,connected,,,compute-011,fe-p0,server,fe-leaf-01,E1/5/3,leaf
22,3828,connected,,,compute-011,fe-p1,server,fe-leaf-02,E1/5/3,leaf
22,3829,connected,,,compute-012,fe-p0,server,fe-leaf-01,E1/5/4,leaf
22,3830,connected,,,compute-012,fe-p1,server,fe-leaf-02,E1/5/4,leaf
22,3831,connected,,,compute-013,fe-p0,server,fe-leaf-01,E1/7/1,leaf
22,3832,connected,,,compute-013,fe-p1,server,fe-leaf-02,E1/7/1,leaf
22,3833,connected,,,compute-014,fe-p0,server,fe-leaf-01,E1/7/2,leaf
