plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
54,26438,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
54,26439,connected,,,compute-001,be1-port0,server,be-rail-leaf-01,E1/1/2,leaf
54,26440,connected,,,compute-001,be2-port0,server,be-rail-leaf-01,E1/2/1,leaf
54,26441,connected,,,compute-001,be3-port0,server,be-rail-leaf-01,E1/2/2,leaf
54,26442,connected,,,compute-001,be4-port0,server,be-rail-leaf-02,E1/1/1,leaf
54,26443,connected,,,compute-001,be5-port0,server,be-rail-leaf-02,E1/1/2,leaf
54,26444,connected,,,compute-001,be6-port0,server,be-rail-leaf-02,E1/2/1,leaf
54,26445,connected,,,compute-001,be7-port0,server,be-rail-leaf-02,E1/2/2,leaf
54,26446,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
54,26447,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
54,26448,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/3/1,leaf
54,26449,connected,,,compute-002,be1-port0,server,be-rail-leaf-01,E1/3/2,leaf
54,26450,connected,,,compute-002,be2-port0,server,be-rail-leaf-01,E1/4/1,leaf
54,26451,connected,,,compute-002,be3-port0,server,be-rail-leaf-01,E1/4/2,leaf
54,26452,connected,,,compute-002,be4-port0,server,be-rail-leaf-02,E1/3/1,leaf
54,26453,connected,,,compute-002,be5-port0,server,be-rail-leaf-02,E1/3/2,leaf
54,26454,connected,,,compute-002,be6-port0,server,be-rail-leaf-02,E1/4/1,leaf
54,26455,connected,,,compute-002,be7-port0,server,be-rail-leaf-02,E1/4/2,leaf
54,26456,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
54,26457,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
54,26458,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
54,26459,connected,,,compute-003,be1-port0,server,be-rail-leaf-01,E1/5/2,leaf
54,26460,connected,,,compute-003,be2-port0,server,be-rail-leaf-01,E1/6/1,leaf
54,26461,connected,,,compute-003,be3-port0,server,be-rail-leaf-01,E1/6/2,leaf
54,26462,connected,,,compute-003,be4-port0,server,be-rail-leaf-02,E1/5/1,leaf
54,26463,connected,,,compute-003,be5-port0,server,be-rail-leaf-02,E1/5/2,leaf
54,26464,connected,,,compute-003,be6-port0,server,be-rail-leaf-02,E1/6/1,leaf
54,26465,connected,,,compute-003,be7-port0,server,be-rail-leaf-02,E1/6/2,leaf
54,26466,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
54,26467,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
54,26468,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/7/1,leaf
54,26469,connected,,,compute-004,be1-port0,server,be-rail-leaf-01,E1/7/2,leaf
54,26470,connected,,,compute-004,be2-port0,server,be-rail-leaf-01,E1/8/1,leaf
54,26471,connected,,,compute-004,be3-port0,server,be-rail-leaf-01,E1/8/2,leaf
54,26472,connected,,,compute-004,be4-port0,server,be-rail-leaf-02,E1/7/1,leaf
54,26473,connected,,,compute-004,be5-port0,server,be-rail-leaf-02,E1/7/2,leaf
54,26474,connected,,,compute-004,be6-port0,server,be-rail-leaf-02,E1/8/1,leaf
54,26475,connected,,,compute-004,be7-port0,server,be-rail-leaf-02,E1/8/2,leaf
54,26476,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
54,26477,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
54,26478,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/9/1,leaf
54,26479,connected,,,compute-005,be1-port0,server,be-rail-leaf-01,E1/9/2,leaf
54,26480,connected,,,compute-005,be2-port0,server,be-rail-leaf-01,E1/10/1,leaf
54,26481,connected,,,compute-005,be3-port0,server,be-rail-leaf-01,E1/10/2,leaf
54,26482,connected,,,compute-005,be4-port0,server,be-rail-leaf-02,E1/9/1,leaf
54,26483,connected,,,compute-005,be5-port0,server,be-rail-leaf-02,E1/9/2,leaf
54,26484,connected,,,compute-005,be6-port0,server,be-rail-leaf-02,E1/10/1,leaf
54,26485,connected,,,compute-005,be7-port0,server,be-rail-leaf-02,E1/10/2,leaf
54,26486,connected,,,compute-005,fe-p0,server,fe-leaf-01,E1/3/1,leaf
54,26487,connected,,,compute-005,fe-p1,server,fe-leaf-02,E1/3/1,leaf
54,26488,connected,,,compute-006,be0-port0,server,be-rail-leaf-01,E1/11/1,leaf
54,26489,connected,,,compute-006,be1-port0,server,be-rail-leaf-01,E1/11/2,leaf
54,26490,connected,,,compute-006,be2-port0,server,be-rail-leaf-01,E1/12/1,leaf
54,26491,connected,,,compute-006,be3-port0,server,be-rail-leaf-01,E1/12/2,leaf
54,26492,connected,,,compute-006,be4-port0,server,be-rail-leaf-02,E1/11/1,leaf
54,26493,connected,,,compute-006,be5-port0,server,be-rail-leaf-02,E1/11/2,leaf
54,26494,connected,,,compute-006,be6-port0,server,be-rail-leaf-02,E1/12/1,leaf
54,26495,connected,,,compute-006,be7-port0,server,be-rail-leaf-02,E1/12/2,leaf
54,26496,connected,,,compute-006,fe-p0,server,fe-leaf-01,E1/3/2,leaf
54,26497,connected,,,compute-006,fe-p1,server,fe-leaf-02,E1/3/2,leaf
54,26498,connected,,,compute-007,be0-port0,server,be-rail-leaf-01,E1/13/1,leaf
